Gender,Age,Debt,Married,BankCustomer,EducationLevel,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,ApprovalStatus
Female,45,20716.5,Yes,No,Graduate,Hispanic,0,No,Yes,747,Yes,,99748,114687.64,Approved
Female,61,0,Yes,Yes,PhD,Hispanic,29.9,No,Yes,826,Yes,US,98212,187733.03,Approved
Female,27,23269.07,No,No,Graduate,Hispanic,2.2,No,Yes,820,Yes,US,98141,116345.34,Approved
Female,29,18471.23,Yes,Yes,College,Hispanic,0.8,No,Yes,417,Yes,US,98052,61570.76,Denied
Male,73,15480.4,No,Yes,College,Hispanic,46.9,No,Yes,610,Yes,US,97908,51601.35,Denied
Male,73,26277.55,Yes,Yes,Graduate,Black,25.7,No,Yes,681,Yes,US,96698,102517.82,Approved
Male,31,20921.95,Yes,No,College,Black,0,No,Yes,582,Yes,US,95913,69739.83,Denied
Female,66,9735.99,Yes,Yes,High School,Black,0,No,Yes,665,Yes,US,95617,32453.3,Denied
Male,26,0,No,No,High School,Black,4.5,No,No,402,Yes,US,95416,32876.62,Denied
Female,71,6837.18,Yes,No,High School,Black,7.6,No,No,582,No,US,95355,22790.59,Denied
Male,40,5198.83,Yes,Yes,High School,Hispanic,0,No,Yes,792,No,US,95199,25994.14,Denied
Female,72,21956.89,No,No,College,Asian,41.6,Yes,Yes,418,Yes,US,94868,73189.62,Denied
Female,57,5200,No,No,College,Asian,0,No,Yes,690,No,Non-US,94322,191754.62,Approved
Female,39,24750.46,No,No,PhD,White,0,No,Yes,777,Yes,US,93838,123752.28,Approved
Male,48,100,No,Yes,College,Hispanic,23.2,No,Yes,700,Yes,US,93455,57658.39,Approved
Male,23,28132.05,Yes,No,Graduate,Hispanic,0,No,Yes,708,Yes,US,93300,93773.5,Approved
Female,55,22341.58,Yes,No,College,White,0,No,Yes,624,Yes,US,93279,74471.92,Approved
Female,42,8628.03,No,No,High School,Other,18,No,Yes,705,Yes,US,93192,28760.09,Denied
Female,29,111.35,Yes,No,PhD,Asian,0,No,Yes,768,Yes,US,92864,192447.58,Approved
Male,47,7063.19,Yes,No,High School,Asian,0,No,Yes,465,Yes,US,92773,23543.97,Denied
Male,51,22675.28,Yes,Yes,Graduate,Black,21.6,No,Yes,843,Yes,US,91583,113376.38,Approved
Male,44,0,No,No,High School,White,0,No,Yes,695,No,US,91431,26642.91,Approved
Female,40,12055.91,Yes,No,College,White,9.4,No,No,382,Yes,US,91300,40186.37,Denied
Female,69,21680.38,No,No,PhD,Hispanic,42.7,No,Yes,758,Yes,US,91250,138658.16,Approved
Male,52,0,Yes,Yes,College,Hispanic,17.4,No,Yes,675,Yes,US,91156,41709.68,Approved
Male,27,0,Yes,Yes,PhD,Asian,6.8,No,Yes,823,No,US,90762,130914.12,Approved
Male,23,21728.91,No,Yes,College,Other,0.4,Yes,Yes,400,Yes,US,90142,72429.69,Denied
Female,71,19578.74,Yes,Yes,College,Black,0,Yes,No,450,Yes,US,90138,65262.47,Denied
Female,64,10128.33,No,No,High School,White,21.9,No,Yes,540,Yes,US,89975,33761.11,Denied
Male,19,0,Yes,Yes,College,Hispanic,0.7,No,Yes,664,Yes,US,88916,189082.55,Approved
Male,35,0,Yes,Yes,High School,Hispanic,16.3,No,Yes,671,Yes,US,88756,37893.75,Approved
Male,47,3389.56,No,No,High School,Asian,0,No,Yes,715,Yes,US,88662,23824.07,Denied
Male,24,15551.29,No,No,College,Other,0,No,Yes,658,Yes,US,87945,51837.64,Approved
Male,62,0,No,Yes,PhD,Hispanic,34.7,No,Yes,812,Yes,US,87785,151609.75,Approved
Male,55,11669.78,No,No,High School,White,8.3,Yes,Yes,405,No,US,87688,38899.28,Denied
Male,39,2035.6,No,Yes,PhD,Black,0,No,Yes,745,Yes,US,87666,142586.2,Approved
Male,42,0,Yes,Yes,Graduate,Other,19.9,Yes,No,650,Yes,US,87102,117619.39,Approved
Male,44,31579.39,Yes,No,Graduate,Black,13.7,No,Yes,728,Yes,US,0,105264.64,Approved
Female,31,2005,Yes,Yes,High School,Other,0,No,Yes,631,Yes,US,86876,39779.58,Approved
Female,52,0,No,No,High School,Black,0,No,Yes,636,Yes,US,86675,25388.45,Denied
Male,61,38084.84,No,No,High School,White,0,Yes,Yes,675,No,US,86101,126949.48,Denied
Female,26,6478.94,Yes,No,High School,Other,5,No,Yes,400,Yes,US,85705,21596.46,Denied
Female,52,22221.1,Yes,Yes,Graduate,Asian,0,Yes,Yes,820,Yes,US,85089,111105.51,Denied
Female,49,0,No,Yes,High School,Other,0,No,Yes,407,Yes,US,0,38198.07,Approved
Male,59,17260.33,No,Yes,College,White,16.7,Yes,Yes,732,Yes,US,82751,57534.44,Denied
Female,72,0,Yes,No,Graduate,Asian,12.8,No,Yes,661,Yes,US,82685,90723.68,Approved
Male,58,8256.27,No,No,Graduate,Asian,0,No,Yes,795,No,US,82680,92615.65,Approved
Female,18,2932.36,Yes,No,High School,White,0,Yes,Yes,550,Yes,US,0,34883.88,Denied
